model,feature_set,horizon,n_splits,params,oos_r2,qlike_skill_ratio,folds_passed,n_folds,n_obs,holdout_oos_r2,holdout_qlike_skill_ratio
rv_ridge,vol_macro,10,5,{'alpha': 0.1},-1.0333635610447804,2.815757750311962,0,5,290,-0.10089900807186303,0.8995165101186896
rv_har,vol_macro,5,5,,-1.777847008920744,9.574241170905566,1,5,295,-0.1641680203099074,1.1027572378780008
rv_har_regime,vol,5,5,,-2.025314284351614,0.66699625167654,1,5,8155,-0.0929896962790957,1.3207920680511462
rv_har,vol,5,5,,-2.025314284351614,0.6669962516765402,1,5,8155,0.19702133587882908,0.8847959898625679
rv_lasso,vol,5,5,{'alpha': 0.01},-2.025314284351614,0.6669962516765402,1,5,8155,-0.6884248656945327,1.9331338335761625
rv_lasso,vol,5,5,{'alpha': 1.0},-2.025314284351614,0.6669962516765402,1,5,8155,-0.774862164843054,2.1054134344758992
rv_ridge,vol,5,5,{'alpha': 1.0},-2.025314284351614,0.6669962516765402,1,5,8155,0.1924408008086096,0.8861585578999519
rv_ridge,vol,5,5,{'alpha': 0.1},-2.025314284351614,0.6669962516765402,1,5,8155,0.19655988405699676,0.8849279331817052
rv_ridge,vol,5,5,{'alpha': 0.01},-2.025314284351614,0.6669962516765402,1,5,8155,0.19697515668045817,0.8848091393158919
rv_lasso,vol,5,5,{'alpha': 0.1},-2.025314284351614,0.6669962516765402,1,5,8155,-0.774862164843054,2.1054134344758992
rv_ridge,vol_macro,10,10,{'alpha': 0.1},-2.03939308108353,5.227283055867128,3,10,290,-0.10089900807186303,0.8995165101186896
rv_har,vol,5,10,,-2.1527999770499275,0.5330453688928115,2,10,8155,0.19702133587882908,0.8847959898625679
rv_ridge,vol,5,10,{'alpha': 0.01},-2.1528213983966826,0.5330378270805836,2,10,8155,0.19697515668045817,0.8848091393158919
rv_ridge,vol,5,10,{'alpha': 0.1},-2.1530131541807216,0.5329718619574195,2,10,8155,0.19655988405699676,0.8849279331817052
rv_ridge,vol,5,10,{'alpha': 1.0},-2.1548336222357087,0.532481875156864,2,10,8155,0.1924408008086096,0.8861585578999519
rv_har_regime,vol,5,10,,-2.156008125259434,0.5468416000685272,2,10,8155,-0.0929896962790957,1.3207920680511462
rv_lasso,vol,5,10,{'alpha': 0.1},-2.24137708698352,0.6590066158382047,2,10,8155,-0.774862164843054,2.1054134344758992
rv_lasso,vol,5,10,{'alpha': 0.01},-2.24137708698352,0.6590066158382047,2,10,8155,-0.6884248656945327,1.9331338335761625
rv_lasso,vol,5,10,{'alpha': 1.0},-2.24137708698352,0.6590066158382047,2,10,8155,-0.774862164843054,2.1054134344758992
rv_ridge,vol,10,5,{'alpha': 1.0},-2.6947223425930495,0.6419484715464926,1,5,8150,0.16424691369800293,0.9816655668889452
rv_lasso,vol,10,5,{'alpha': 1.0},-2.6947223425930495,0.6419484715464926,1,5,8150,-1.092763675274488,2.5534156059159296
rv_har,vol,10,5,,-2.6947223425930495,0.6419484715464926,1,5,8150,0.1707346237324031,0.9779219829591967
rv_lasso,vol,10,5,{'alpha': 0.1},-2.6947223425930495,0.6419484715464926,1,5,8150,-1.092763675274488,2.5534156059159296
rv_ridge,vol,10,5,{'alpha': 0.01},-2.6947223425930495,0.6419484715464926,1,5,8150,0.17066919541142211,0.9779592761342281
rv_lasso,vol,10,5,{'alpha': 0.01},-2.6947223425930495,0.6419484715464926,1,5,8150,-1.012446471108392,2.40942026432251
rv_ridge,vol,10,5,{'alpha': 0.1},-2.6947223425930495,0.6419484715464926,1,5,8150,0.1700808425368756,0.9782950808911393
rv_har_regime,vol,10,5,,-2.6947223425930504,0.6419484715464925,1,5,8150,-0.18065996788526517,1.383294125271416
rv_har,vol,10,10,,-2.898891833539383,0.5116904573952413,2,10,8150,0.1707346237324031,0.9779219829591967
rv_ridge,vol,10,10,{'alpha': 0.01},-2.898905923122797,0.5116956080175675,2,10,8150,0.17066919541142211,0.9779592761342281
rv_ridge,vol,10,10,{'alpha': 0.1},-2.8990321522650815,0.5117419325924495,2,10,8150,0.1700808425368756,0.9782950808911393
rv_ridge,vol,10,10,{'alpha': 1.0},-2.9002404263194457,0.5122180579390244,2,10,8150,0.16424691369800293,0.9816655668889452
rv_har_regime,vol,10,10,,-2.901348545300537,0.5283602460645636,2,10,8150,-0.18065996788526517,1.383294125271416
rv_lasso,vol,10,10,{'alpha': 1.0},-2.9778927593746465,0.6355988812169335,2,10,8150,-1.092763675274488,2.5534156059159296
rv_lasso,vol,10,10,{'alpha': 0.01},-2.9778927593746465,0.6355988812169335,2,10,8150,-1.012446471108392,2.40942026432251
rv_lasso,vol,10,10,{'alpha': 0.1},-2.9778927593746465,0.6355988812169335,2,10,8150,-1.092763675274488,2.5534156059159296
rv_ridge,vol_macro,5,5,{'alpha': 0.1},-4.485307324673384,8.386995769019663,0,5,295,-0.16022958646262353,1.1063027066962674
rv_ridge,vol_macro,10,5,{'alpha': 0.01},-6.296714848231103,11.402547861582915,0,5,290,-0.14370492661112966,0.9481858500539776
rv_ridge,vol_macro,10,10,{'alpha': 0.01},-9.40115136376343,15.277949840013884,3,10,290,-0.14370492661112966,0.9481858500539776
rv_ridge,vol_macro,5,10,{'alpha': 0.1},-12.047543673423473,16.82032806650729,2,10,295,-0.16022958646262353,1.1063027066962674
rv_ridge,vol_macro,5,5,{'alpha': 0.01},-381.12747608324264,868.449666480473,0,5,295,-0.16250029809723565,1.1049499037291501
rv_ridge,vol_macro,5,10,{'alpha': 0.01},-1644.2851236565,2645.1203926680855,2,10,295,-0.16250029809723565,1.1049499037291501
rv_har,vol_macro,5,10,,-88931.25276528155,177958.92766958234,2,10,295,-0.1641680203099074,1.1027572378780008
rv_har_regime,vol_macro,5,5,,-16439761993.069584,95794068068.8669,1,5,295,-5.5215127620177435,6.971125057257139
rv_har_regime,vol_macro,5,10,,-311495256348.4644,1380402165985.9417,1,10,295,-5.5215127620177435,6.971125057257139
rv_har_regime,vol_macro,10,5,,-1.9004562178830122e+24,8.807963944144196e+24,1,5,290,-41.285094253283155,27.64855877648745
rv_har_regime,vol_macro,10,10,,-9.078276801617782e+25,3.5566809452521046e+26,4,10,290,-41.285094253283155,27.64855877648745
